Name,N_sample,Dim,Size (GB),mpts,is_initial_kNNG_connected,is_new_kNNG_connected,Time_myMethod,Time_exact_HDBSCAN,ARI_myMethod,HAI_myMethod,Time_app_HDBSCAN,ARI_APP_HDBSCAN,HAI_APP_HDBSCAN
gamma,4999.0,10.0,0.00039992,30.0,False,True,5.734201908111572,1.0971224308013916,1.0,0.999394520496948,0.5075662136077881,1.0,0.9994385575378872
gamma,4999.0,32.0,0.001279744,10.0,False,True,3.1290717124938965,1.1640691757202148,1.0,0.9974326181509624,1.002819538116455,1.0,0.9985486415510888
gamma,4999.0,32.0,0.001279744,10.0,False,True,3.0397191047668457,1.1087384223937988,1.0,0.9974519752989316,0.9993958473205566,1.0,0.9985826314769684
gamma,4999.0,32.0,0.001279744,10.0,False,True,3.2712831497192383,1.1279497146606443,1.0,0.997401815481057,1.0193116664886477,1.0,0.9985776780735184
gamma,4999.0,32.0,0.001279744,10.0,False,True,3.167128562927246,1.1233375072479248,1.0,0.997486402799302,0.995577335357666,1.0,0.9985677442744354
gamma,4999.0,32.0,0.001279744,10.0,False,True,3.2517871856689453,1.1108627319335938,1.0,0.9973788888958568,1.0217325687408447,1.0,0.9985245743136364
gamma,4999.0,32.0,0.001279744,20.0,False,True,4.328805208206177,1.1205101013183594,1.0,0.9989880716844431,0.9959182739257812,1.0,0.9991964097822984
gamma,4999.0,32.0,0.001279744,20.0,False,True,4.445921182632446,1.1249732971191406,1.0,0.9990095646736564,0.9941937923431396,1.0,0.9992262949418044
gamma,4999.0,32.0,0.001279744,20.0,False,True,4.306100130081177,1.1112658977508545,1.0,0.998990828089956,1.0099637508392334,1.0,0.99924710822728
gamma,4999.0,32.0,0.001279744,20.0,False,True,4.197871208190918,1.121321439743042,1.0,0.999022116651334,0.9928710460662842,1.0,0.9992402148440792
gamma,4999.0,32.0,0.001279744,20.0,False,True,4.322733640670776,1.1332979202270508,1.0,0.9989776528583932,0.991255521774292,1.0,0.9991976033302836
gamma,4999.0,32.0,0.001279744,30.0,False,True,5.828958034515381,1.1653540134429932,1.0,0.9993997788193096,0.9976081848144532,1.0,0.999466305447304
gamma,4999.0,32.0,0.001279744,30.0,False,True,5.802482604980469,1.1303510665893557,1.0,0.9994191163395014,1.00447678565979,1.0,0.9994786955038504
gamma,4999.0,32.0,0.001279744,30.0,False,True,5.641326427459717,1.1231350898742676,1.0,0.9993986066281386,0.9921772480010986,1.0,0.999465508617302
gamma,4999.0,32.0,0.001279744,30.0,False,True,5.66053318977356,1.143186092376709,1.0,0.9993944294023032,0.9971401691436768,1.0,0.9994554351184112
gamma,4999.0,32.0,0.001279744,30.0,False,True,5.831603765487671,1.130180835723877,1.0,0.9993938322760972,1.0031657218933103,1.0,0.9994750946877952
gamma,4999.0,64.0,0.002559488,10.0,False,True,3.1734328269958496,1.13820219039917,1.0,0.9973158286672892,1.7985563278198242,1.0,0.9985816775287136
gamma,4999.0,64.0,0.002559488,10.0,False,True,3.074354648590088,1.1209769248962402,1.0,0.9971989757855768,1.805614948272705,1.0,0.9985299252995866
gamma,4999.0,64.0,0.002559488,10.0,False,True,3.08516263961792,1.0852959156036377,1.0,0.9973183965116872,1.860535144805908,1.0,0.9985441162444524
gamma,4999.0,64.0,0.002559488,10.0,False,True,3.6986067295074463,1.1297247409820557,1.0,0.9973254646237072,1.8291316032409668,1.0,0.998605684185828
gamma,4999.0,64.0,0.002559488,10.0,False,True,3.1032814979553223,1.1281235218048096,1.0,0.9973787607229704,1.824972152709961,1.0,0.998584030620286
gamma,4999.0,64.0,0.002559488,20.0,False,True,4.429422855377197,1.120152235031128,1.0,0.9990156333061074,1.8474149703979488,1.0,0.9992288161021998
gamma,4999.0,64.0,0.002559488,20.0,False,True,4.160861492156982,1.1068048477172852,1.0,0.9990573802372564,1.795637845993042,1.0,0.9992563485863852
